"","date","HF Index","Intercept","Mkt","SMB","DEF"
"156","01-02-2007",0.74,1,-1.96,1.38,-0.02
"157","01-03-2007",1.24,1,0.68,-0.06,0.15
"158","01-04-2007",2.02,1,3.49,-2.02,-0.01
"159","01-05-2007",2.31,1,3.24,0.24,-0.06
"160","01-06-2007",0.78,1,-1.96,0.76,-0.04
"161","01-07-2007",0,1,-3.73,-2.97,0.05
"162","01-08-2007",-1.53,1,0.92,-0.3,0.33
"163","01-09-2007",2.71,1,3.22,-2.46,0.09
"164","01-10-2007",3.16,1,1.8,-0.02,-0.12
"165","01-11-2007",-1.21,1,-4.83,-2.91,0.3
"166","01-12-2007",0.47,1,-0.87,0.14,0.3
"167","01-01-2008",-1.48,1,-6.36,-0.47,0.25
"168","01-02-2008",1.61,1,-3.09,-0.63,0.28
"169","01-03-2008",-2.11,1,-0.93,0.65,0.3
"170","01-04-2008",0.57,1,4.6,-1.12,-0.09
"171","01-05-2008",2,1,1.86,3.09,-0.24
"172","01-06-2008",0,1,-8.44,1.02,-0.08
"173","01-07-2008",-2.61,1,-0.77,4.11,0.18
"174","01-08-2008",-1.47,1,1.53,3.42,0.11
"175","01-09-2008",-6.55,1,-9.24,0.6,0.36
"176","01-10-2008",-6.3,1,-17.23,-3.11,1.45
"177","01-11-2008",-4.15,1,-7.86,-4.23,0.61
"178","01-12-2008",-0.03,1,1.74,3.57,0.33
"179","01-01-2009",1.09,1,-8.12,-2.35,-0.39
"180","01-02-2009",-0.88,1,-10.1,-1.4,-0.41
"181","01-03-2009",0.65,1,8.95,0.93,0.39
"182","01-04-2009",1.68,1,10.19,6.75,-0.14
"183","01-05-2009",4.06,1,5.21,-2.35,-0.69
"184","01-06-2009",0.43,1,0.43,2.28,-0.99
"185","01-07-2009",2.54,1,7.72,2.56,-0.25
"186","01-08-2009",1.53,1,3.33,0.2,-0.54
"187","01-09-2009",3.04,1,4.08,2.68,-0.08
"188","01-10-2009",0.13,1,-2.59,-4.78,-0.01
"189","01-11-2009",2.11,1,5.56,-2.79,0.02
"190","01-12-2009",0.88,1,2.75,6.08,-0.14
"191","01-01-2010",0.17,1,-3.36,0.25,-0.26
"192","01-02-2010",0.68,1,3.4,1.53,0.13
"193","01-03-2010",2.22,1,6.31,1.85,-0.11
"194","01-04-2010",1.24,1,2,5.03,-0.14
"195","01-05-2010",-2.76,1,-7.89,-0.08,0.23
"196","01-06-2010",-0.84,1,-5.56,-2.59,0.4
"197","01-07-2010",1.59,1,6.93,0.13,-0.03
"198","01-08-2010",0.23,1,-4.77,-3.07,-0.04
"199","01-09-2010",3.43,1,9.54,3.71,0.05
"200","01-10-2010",1.92,1,3.88,0.72,0.17
"201","01-11-2010",-0.18,1,0.6,3.54,-0.02
"202","01-12-2010",2.9,1,6.82,1.03,-0.35
"203","01-01-2011",0.69,1,1.99,-2.38,-0.11
"204","01-02-2011",1.38,1,3.49,1.76,-0.13
"205","01-03-2011",0.12,1,0.45,2.66,0.05
"206","01-04-2011",1.8,1,2.9,-0.41,-0.06
"207","01-05-2011",-0.96,1,-1.27,-0.69,0.05
"208","01-06-2011",-1.36,1,-1.75,0.09,0.14
"209","01-07-2011",0.69,1,-2.36,-1.38,0.01
"210","01-08-2011",-2.3,1,-5.99,-3.39,0.3
"211","01-09-2011",-3.2,1,-7.59,-3.9,0.23
"212","01-10-2011",1.73,1,11.35,3.72,-0.07
"213","01-11-2011",-0.79,1,-0.28,-0.34,-0.09
"214","01-12-2011",-0.22,1,0.74,-0.36,0.14
"215","01-01-2012",2.34,1,5.05,2.35,-0.01
"216","01-02-2012",1.61,1,4.42,-1.54,-0.09
"217","01-03-2012",0.05,1,3.11,-0.3,-0.11
"218","01-04-2012",-0.04,1,-0.85,-0.66,0.08
"219","01-05-2012",-1.33,1,-6.19,-0.2,0.13
"220","01-06-2012",-0.4,1,3.89,0.99,0.13
"221","01-07-2012",1.42,1,0.79,-2.74,-0.06
"222","01-08-2012",0.84,1,2.55,0.61,-0.11
"223","01-09-2012",1.04,1,2.73,0.69,-0.11
"224","01-10-2012",-0.18,1,-1.76,-0.8,-0.29
"225","01-11-2012",0.64,1,0.78,0.41,0.03
"226","01-12-2012",1.48,1,1.18,1.91,0.05
"227","01-01-2013",2.07,1,5.57,0.57,-0.09
"228","01-02-2013",0.24,1,1.29,-0.35,0.05
"229","01-03-2013",1.21,1,4.03,0.9,0.02
"230","01-04-2013",1.39,1,1.56,-2.32,-0.06
"231","01-05-2013",0.42,1,2.8,2.27,-0.03
"232","01-06-2013",-1.66,1,-1.2,1.33,0.09
"233","01-07-2013",0.88,1,5.65,1.81,-0.15
"234","01-08-2013",-0.54,1,-2.71,-0.03,-0.06
"235","01-09-2013",1.27,1,3.77,2.72,-0.02
"236","01-10-2013",1.59,1,4.18,-1.57,0.03
"237","01-11-2013",1.31,1,3.12,1.47,-0.03
"238","01-12-2013",1.19,1,2.81,-0.44,-0.18
"239","01-01-2014",-0.29,1,-3.32,0.56,-0.15
"240","01-02-2014",1.72,1,4.65,0.16,0.06
"241","01-03-2014",-0.48,1,0.43,-1.23,-0.05
"242","01-04-2014",-0.21,1,-0.19,-4.21,-0.15
"243","01-05-2014",1.13,1,2.06,-1.83,0.01
"244","01-06-2014",0.96,1,2.61,3.04,0
"245","01-07-2014",-0.31,1,-2.04,-4.16,-0.01
"246","01-08-2014",0.88,1,4.24,0.3,0.08
"247","01-09-2014",-0.01,1,-1.97,-3.8,0
"248","01-10-2014",-0.8,1,2.52,3.79,0.12
"249","01-11-2014",1.5,1,2.55,-2.27,0.07
"250","01-12-2014",0.01,1,-0.06,2.85,0.07
"251","01-01-2015",0.81,1,-3.11,-0.91,0.04
"252","01-02-2015",1.06,1,6.13,0.35,-0.04
"253","01-03-2015",0.6,1,-1.12,3.07,-0.03
"254","01-04-2015",0.02,1,0.59,-2.99,0.04
"255","01-05-2015",0.83,1,1.36,0.85,0.15
"256","01-06-2015",-1.31,1,-1.53,2.88,0.08
"257","01-07-2015",0.87,1,1.54,-4.5,0.11
"258","01-08-2015",-1.99,1,-6.04,0.38,0.14
"259","01-09-2015",-1.41,1,-3.07,-2.81,0.15
"260","01-10-2015",0.53,1,7.75,-2.05,0.1
"261","01-11-2015",0.2,1,0.56,3.35,-0.07
"262","01-12-2015",-0.85,1,-2.17,-3,0.02
"263","01-01-2016",-1.41,1,-5.77,-3.56,0.14
"264","01-02-2016",-1.08,1,-0.07,0.87,0.2
"265","01-03-2016",0.29,1,6.96,1.03,-0.32
