Date,Open,High,Low,Close,Adj Close,Volume
1965-09-01,8.316667,8.620833,8.300000,8.541667,2.110744,7246400
1965-10-01,8.512500,8.883333,8.387500,8.883333,2.195171,7057600
1965-11-01,8.883333,9.233334,8.700000,8.750000,2.162223,4550400
1965-12-01,8.750000,8.795834,8.237500,8.316667,2.055722,12908800
1966-01-01,8.291667,8.558333,7.866667,8.266666,2.043361,12648000
1966-02-01,8.266666,8.745833,8.133333,8.583333,2.121635,8011200
1966-03-01,8.583333,8.750000,8.241667,8.600000,2.126389,9123200
1966-04-01,8.600000,9.366667,8.566667,9.291667,2.297408,7316800
1966-05-01,9.291667,9.350000,8.600000,9.068750,2.242291,10494400
1966-06-01,8.912500,9.162500,8.312500,8.762500,2.167216,13753600
1966-07-01,8.806250,9.037500,8.518750,8.518750,2.106930,6025600
1966-08-01,8.518750,8.768750,7.656250,8.012500,1.981722,10428800
1966-09-01,8.012500,8.462500,7.662500,7.937500,1.963801,10038400
1966-10-01,7.937500,8.371875,7.237500,8.300000,2.053486,11531200
1966-11-01,8.359375,9.425000,8.359375,9.400000,2.325633,10068800
1966-12-01,9.400000,9.650000,9.075000,9.287500,2.298536,6968000
1967-01-01,9.287500,10.150000,9.062500,9.987500,2.471775,10628800
1967-02-01,9.850000,10.881250,9.762500,10.750000,2.660484,6753600
1967-03-01,10.812500,11.525000,10.800000,11.275000,2.791185,7043200
1967-04-01,11.187500,12.475000,10.925000,12.412500,3.072779,8220800
1967-05-01,12.125000,12.125000,11.450000,11.656250,2.885563,8121600
1967-06-01,11.656250,12.775000,11.587500,12.437500,3.079648,9611200
1967-07-01,12.437500,12.737500,12.200000,12.693750,3.143099,6238400
1967-08-01,12.693750,12.862500,12.131250,12.493750,3.093577,5624000
1967-09-01,12.493750,13.937500,12.462500,13.706250,3.394538,7054400
1967-10-01,13.700000,15.012500,13.525000,14.837500,3.674707,6659200
1967-11-01,14.725000,15.512500,14.187500,15.300000,3.789251,9472000
1967-12-01,15.300000,16.200001,15.250000,15.675000,3.889471,6500800
1968-01-01,15.675000,15.681250,14.718750,14.862500,3.687862,10377600
1968-02-01,14.862500,15.050000,14.212500,14.500000,3.597915,10609600
1968-03-01,14.500000,15.325000,14.000000,15.312500,3.807829,11905600
1968-04-01,15.637500,16.937500,15.625000,16.937500,4.211925,11107200
1968-05-01,16.975000,17.850000,16.125000,17.850000,4.438838,11739200
1968-06-01,18.450001,18.750000,17.250000,17.687500,4.406660,10641600
1968-07-01,17.687500,18.250000,16.299999,16.937500,4.219806,9384000
1968-08-01,16.937500,17.325001,16.500000,16.750000,4.173093,7364800
1968-09-01,16.750000,17.075001,16.500000,16.750000,4.181138,6200000
1968-10-01,16.525000,16.650000,15.225000,15.350000,3.831671,17635200
1968-11-01,15.400000,16.737499,15.375000,16.687500,4.165537,10878400
